Sort By,Station ID,Route,Group
1,293,1,
2,294,1,
3,295,1,
4,296,1,
5,297,1,
6,298,1,
7,299,1,
8,300,1,
9,301,1,
10,302,1,
11,303,1,
12,304,1,
13,305,1,
14,306,1,
15,307,1,
16,308,1,
17,309,1,
18,310,1,
19,311,1,
20,312,1,
21,313,1,
22,314,1,
23,315,1,
24,316,1,
25,317,1,
26,318,1,
27,319,1,
28,320,1,
29,321,1,
30,322,1,
31,323,1,
32,324,1,
33,325,1,
34,326,1,
35,327,1,
36,328,1,
37,329,1,
38,330,1,
1,416,2,
2,417,2,
3,418,2,
4,419,2,
5,420,2,
6,421,2,
7,422,2,
8,423,2,
9,424,2,
10,425,2,
11,426,2,
12,427,2,
13,428,2,
14,429,2,
15,430,2,
16,431,2,
17,432,2,
18,433,2,
19,434,2,
20,435,2,
21,438,2,
22,439,2,
23,440,2,
24,441,2,
25,310,2,
26,313,2,
27,317,2,
28,318,2,
29,322,2,
30,327,2,
31,331,2,
32,332,2,
33,333,2,
34,334,2,
35,335,2,
36,336,2,
37,337,2,
38,338,2,
39,339,2,
40,340,2,
41,341,2,
42,342,2,
43,353,2,
44,354,2,
45,355,2,
46,356,2,
47,357,2,
48,358,2,
49,359,2,
1,436,3,
2,437,3,
3,438,3,
4,439,3,
5,440,3,
6,441,3,
7,310,3,
8,313,3,
9,317,3,
10,318,3,
11,322,3,
12,327,3,
13,331,3,
14,332,3,
15,333,3,
16,334,3,
17,335,3,
18,336,3,
19,337,3,
20,338,3,
21,339,3,
22,340,3,
23,341,3,
24,342,3,
25,343,3,
26,344,3,
27,345,3,
28,346,3,
29,347,3,
30,348,3,
31,349,3,
32,350,3,
33,351,3,
34,352,3,
1,378,4,
2,379,4,
3,380,4,
4,381,4,
5,382,4,
6,383,4,
7,384,4,
8,385,4,
9,386,4,
10,387,4,
11,388,4,
12,389,4,
13,390,4,
14,391,4,
15,392,4,
16,397,4,
17,400,4,
18,402,4,
19,406,4,
20,411,4,
21,412,4,
22,413,4,
23,414,4,
24,415,4,
25,337,4,
26,342,4,
27,345,4,
1,442,5,
2,443,5,
3,444,5,
4,445,5,
5,446,5,
6,426,5,
7,427,5,
8,428,5,
9,429,5,
10,430,5,
11,431,5,
12,432,5,
13,433,5,
14,434,5,
15,435,5,
16,391,5,
17,392,5,
18,397,5,
19,400,5,
20,402,5,
21,406,5,
22,411,5,
23,412,5,
24,413,5,
25,414,5,
26,415,5,
27,337,5,
28,342,5,
29,353,5,
30,354,5,
31,355,5,
32,356,5,
33,357,5,
34,358,5,
35,359,5,
1,360,6,
2,361,6,
3,362,6,
4,363,6,
5,364,6,
6,365,6,
7,366,6,
8,367,6,
9,368,6,
10,369,6,
11,370,6,
12,371,6,
13,372,6,
14,373,6,
15,374,6,
16,375,6,
17,376,6,
18,377,6,
19,392,6,
20,393,6,
21,394,6,
22,395,6,
23,396,6,
24,397,6,
25,398,6,
26,399,6,
27,400,6,
28,401,6,
29,402,6,
30,403,6,
31,404,6,
32,405,6,
33,406,6,
34,407,6,
35,408,6,
36,409,6,
37,410,6,
38,411,6,
1,447,7,
2,448,7,
3,449,7,
4,450,7,
5,451,7,
6,452,7,
7,453,7,
8,454,7,
9,455,7,
10,456,7,
11,457,7,
12,458,7,
13,459,7,
14,460,7,
15,461,7,
16,462,7,
17,463,7,
18,464,7,
